cc_alias	language	lexeme	status	lexeme_source	cognacy_source	comment
heart-G	Kolami	pa:nam	LOAN	Kolipakam (fieldwork) (A)	Kolipakam (L)	Similar to hindi/sanskrit word "pran/pa:n" for life.
heart-H	Brahui	ust		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:062 (A)	DED645
heart-I	Kurukh	buka		Kolipakam (fieldwork) (A)	Kolipakam (A)	No obvioous cognate or no entry in DED
heart-J	Ollari_Gadba	dʒibe		Kolipakam (fieldwork) (A)	Kolipakam (A)	No obvioous cognate or entry in DED
horn-A	Badga	kombə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to set - 2115(pg.191), but not in DED list
horn-A	Betta_Kurumba	kombbə		Kolipakam fieldwork (A)	Kolipakam (B)	High-quality look alike to set - 2115
horn-A	Kannada	kombu		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:191 (A)	; set - 2115
horn-A	Kodava	kombə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:191 (A)	set - 2115
horn-A	Kolami	kommu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:191 (A)	DED2115
horn-A	Koya	komm		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to set - 2115(pg.191), but not in DED list
horn-A	Malayalam	kompə		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:191 (A)	; set - 2115
horn-A	Tamil	kombə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:191 (A)	; set - 2115
horn-A	Telugu	kommu		Kolipakam fieldwork (A)	Andronov 1964 (A)	
horn-A	Tulu	kombu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:191 (A)	set - 2115
horn-A	Yeruva	kombə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to set - 2115(pg.191), but not in DED list
horn-B	Toda	ku:ɾ		Kolipakam fieldwork (A)	Kolipakam (C)	Self - identified.
horn-C	Brahui	maɾgʰ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:378 (A)	DED4720
horn-C	Kurukh	maɾag		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:378 (A)	DED4720
horn-C	Malto	maɾgadu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:417 (A)	Set 4720
horn-D	Koya	ko:kku		Kolipakam fieldwork (A)	Kolipakam (C)	Self - identified.
horn-E	Gondi	koɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:197 (A)	DED2200
horn-E	Ollari_Gadba	kaɾ gutʃul		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:197 (A)	DED2200
kill-A	Kannada	kollu		Andronov 1964 (B); Kolipakam fieldwork (B)	Andronov 1964 (B)	
kill-A	Kodava	kollə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED2132 (A)	
kill-A	Malayalam	kolluga		Andronov 1964 (B); Kolipakam fieldwork (B)	Andronov 1964 (B)	
kill-A	Tamil	kollə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B)	
kill-A	Yeruva	kollə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED2132 (A)	
kill-B	Brahui	kasfing		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:212 (A)	DEd2426
kill-B	Telugu	tʃampu		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:212 (A)	; DED2426
kill-C	Toda	keɖukisti		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1942 (A)	
kill-C	Tulu	keɾijaɾa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1942 (B)	Similar forms cited (difference suffix?)
kill-D	Badga	koppə		Kolipakam fieldwork (A)	Dunn (C)	apparent singleton
kill-E	Gondi	haʋka		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:207 (A)	DED2343
kill-E	Koya	aʋaka:		Kolipakam fieldwork (A)	Burrow Emeneau 1961:207 (A)	DED2343
kill-F	Betta_Kurumba	kenga:ɭ		Kolipakam fieldwork (A)	Dunn (C)	apparent singleton, not similar enough to DED2132 /cognate/86/
kill-G	Malto	badʒpo		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:DED4044 (C)	
kill-H	Kota	ta:ʋiɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:266 (A)	DED3068
kill-I	Kolami	alangʈa:n		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:29 (A)	DED309
kill-J	Kurukh	eɖabna		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
kill-K	Gondi	kʰatamki	LOAN	Kolipakam (fieldwork) (A)	Kolipakam (L)	Khatam ki - simiar to hindi word for finishing off - or killing - khatam
knee-A	Kannada	muṇakālo		Andronov 1964 (B)	Burrow Emeneau 1961:448 (A)	Set - 4990
knee-A	Kota	mo:ga:l		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:448 (A)	DED4990
knee-A	Koya	mo:ka:l		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to Set - 4490(pg.448), but not in list.
knee-A	Kurukh	muka		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:448 (A)	DED4990
knee-A	Malayalam	muḻaṅkāl		Andronov 1964 (B)	Burrow Emeneau 1961:448 (A)	Set - 4990
knee-A	Malto	mu:ka		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:448 (A)	Set 4990
knee-A	Tamil	muḻaṅkāl		Andronov 1964 (B)	Burrow Emeneau 1961:448 (A)	Set - 4490
knee-A	Telugu	mo:ka:lu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:448 (A)	Set - 4490
knee-A	Yeruva	mu:leka:lə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to Set - 4490(pg.448), but not in list.
knee-B	Kannada	maɳɖi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:413 (A)	Set - 4677
knee-B	Kodava	maɳɖi		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to Set - 4677(pg.413), but not in list.
knee-B	Kuwi	mendaja		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:413 (A)	DED4677
knee-C	Badga	muʈʈi		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to Set - 4935(pg.442), but not in list.
knee-C	Kolami	muɖsu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:442 (B)	DED4935
knee-C	Malayalam	muʈʈə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:442 (A)	Set - 4935
knee-C	Tamil	muʈʈi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:442 (A)	Set - 4935
knee-C	Tamil	mu:ʈə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to Set 4935 (pg.442) but not in list.
knee-C	Toda	muʈʈi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:442 (A)	Set - 4935
knee-D	Koya	boʈmiɳɖa:		Kolipakam fieldwork (A)	Kolipakam (C)	Self-identified
knee-E	Tulu	meɳaka:ləganʈu		Kolipakam fieldwork (A)	Kolipakam (C)	Self-identified
knee-F	Betta_Kurumba	mannga:lə		Kolipakam fieldwork (A)	Kolipakam (B)	
knee-G	Gondi	tongɾa		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED2983
knee-H	Ollari_Gadba	ʋangul		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED5249
knee-I	Brahui	go:ɖ		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
know-A	Badga	aɾaʋə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED314 (B)	closely related lookalike to attested set
know-A	Kannada	ari-		Andronov 1964 (B)	Andronov 1964 (B)	
know-A	Kodava	aɾi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED314 (B)	
know-A	Malayalam	aɾajuga		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED314 (B)	; 
know-A	Tamil	aṟi-		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED314 (A)	; 
know-A	Telugu	eṟāgu-		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED314 (A)	; 
know-A	Toda	aɾspini		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED314 (A)	
know-A	Yeruva	aɾiʋo		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED314 (A)	
know-B	Parji	pun-		Andronov 1964 (B)	Andronov 1964 (B)	
know-C	Kurukh	akʰna		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED17
know-C	Malto	ha:hpo		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:DED17 (C)	
know-D	Kannada	telidiko		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3433 (A)	
know-D	Koya	teluse:		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3433 (A)	
know-D	Telugu	telusuko		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3433 (A)	
know-D	Telugu	telusukonu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3433 (A)	
know-E	Brahui	tʃa:ing		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:301 (A)	DED3419
know-E	Tamil	teɾijum		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3419 (A)	
know-E	Tamil	terindʒuko		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3419 (A)	
know-E	Tulu	teɾijaɾa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3419 (A)	
know-F	Betta_Kurumba	gott(ə) uɳɖi		Kolipakam fieldwork (A)	Dunn (B)	apparentn singleton
know-F	Betta_Kurumba	gotta:g		Kolipakam fieldwork (A)	Dunn (B)	apparentn singleton
know-G	Kota	asu:bej		Kolipakam (fieldwork) (A)	Kolipakam (A)	No obvious cognate or entry in DED
know-H	Malto	baɖeminpo		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
know-I	Malto	sika:ɾpo		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
know-J	Kolami	uɾtanɖa:t		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
know-K	Ollari_Gadba	sun		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
know-L	Gondi	jeɾpaʈ		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
leaf-A	Badga	elə		Kolipakam fieldwork (A)	Dunn (B)	same as sister languages
leaf-A	Betta_Kurumba	jali		Kolipakam fieldwork (A)	Dunn (C)	dubious lookalike (but see Kannada)
leaf-A	Kannada	jele		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED497 (B)	; DED497: Ka. ele, ela id.
leaf-A	Kodava	elakaɳɖa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED497 (A)	DED497: Koḍ. elakaṇḍa id.
leaf-A	Kota	e:lu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:48 (A)	DED497
leaf-A	Malayalam	ila		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED497 (B)	; DED497: Ma. ila leaf;
leaf-A	Tamil	ele		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED497 (B)	; DED497: Ta. ilai leaf, petal; (-pp-, -tt-) to become green. form ele is not given.
leaf-A	Toda	eɾs		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED497 (B)	DED497: To. es̱ id. (leaf)
leaf-A	Tulu	iɾa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED497 (A)	DED497: Tu. elè, irè id.
leaf-A	Yeruva	ele		Kolipakam fieldwork (A)	Dunn (B)	same as sister languages
leaf-B	Gondi	a:ki		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:32 (A)	DED335
leaf-B	Kolami	a:k		Kolipakam (fieldwork) (A)	Kolipakam (B)	high quality look alike
leaf-B	Koya	a:ki:		Kolipakam fieldwork (A)	Verkerk (B)	High quality look-alike
leaf-B	Telugu	a:ku		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED335 (A)	; DED335: Te. āku leaf, petal; (VPK also) seedlings of paddy for transplantation.
leaf-C	Parji	ev		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED775 (A)	; DED775: Pa. ev id.
leaf-D	Kurukh	atkʰa		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:15 (A)	DED141
leaf-E	Ollari_Gadba	ʈunɖe		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
leaf-F	Malto	ha:tʰa		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
leaf-G	Brahui	pann		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
leaf-H	Kuwi	patɾa	LOAN	Kolipakam (fieldwork) (A)	Kolipakam (L)	no obvious cognates or entry in DED, possible borrowing from IE
lie-A	Malayalam	kiɖakkuga		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED1524 (A)	; apparent singleton (contra Andronov), who had it in /cognate/93/
lie-A	Malto	ko:ɖpo		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:141 (A)	DED1524
lie-A	Tamil	keɖə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED1524 (A)	; apparent singleton (contra Andronov), who had it in /cognate/93/
lie-B	Kannada	malagu		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B)	
lie-C	Gondi	miɳɖsi		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED4652
lie-C	Kolami	laba:ɖ muɖsati		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED4652
lie-C	Parji	maḍ-		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED4652 (A)	; 
lie-D	Koya	undʒa		Kolipakam fieldwork (A)	Dunn (A)	apparent singleton
lie-E	Badga	haɖaʋə		Kolipakam fieldwork (A)	Dunn (A)	apparent singleton
lie-F	Toda	poaʈtʃi:		Kolipakam fieldwork (A)	Dunn (B)	apparent singleton
lie-G	Telugu	paɖukonu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3852 (A); Dunn (A)	contra Andronov, who had it in /cognate/93/; apparent singleton (contra Andronov), who had it in /cognate/93/
lie-H	Toda	pokkum	EXCLUDE	Kolipakam fieldwork (A)	Dunn (X)	This looks like a semantic mistake: See DED4459 Ta. pokkam lie, falsehood, deceit, fault; poccam, poccu lie, falsehood; fault, defect; poccai fault; poccāppu badness, evil, wickedness, fault. ? Ma. pokkar low people. Ka. boṅku to lie. Tu. boṅkuni to deny. Te. poccemu deceit, trick, defect, fault; boṅku to lie; n. a lie; false, untrue; boṅkincu to deceive, tempt; cause to tell a lie; boṅkari a liar; boṅkulã̄ḍu id.; fem. boṅkulã̄ḍi. Kuwi (S.) bōkinai to pretend; (Isr.) pōk- (-h-) to tell lies. Cf. 4531 Ta. poy. / Cf. Pkt. (DNM) phukkā = mithyā. DED(S) 3651.
lie-I	Betta_Kurumba	ba:ɖ		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3852 (B)	clear cognate
lie-I	Betta_Kurumba	ba:ʈɳu i:ɾ		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3852 (B)	clear cognate
lie-I	Kodava	budda		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3852 (A)	
lie-I	Tamil	paɖə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3852 (A)	
lie-I	Tulu	buɾo:naɾa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3852 (A)	
lie-I	Yeruva	bi:ndo		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3852 (B)	clear cognate
lie-J	Brahui	dɾogʰ taɖing		Kolipakam (fieldwork) (A)	Kolipakam (B)	Apparent singleton
lie-K	Kurukh	paiha		Kolipakam (fieldwork) (A)	Kolipakam (B)	Apparent singleton
lie-L	Kurukh	fasija:r		Kolipakam (fieldwork) (A)	Kolipakam (B)	Singleton, no entry in DED
lie-M	Gondi	dolsi		Kolipakam (fieldwork) (A)	Kolipakam (B)	Singleton, no entry in DED
liver-A	Kannada	hīri		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED546 (A)	; 
liver-A	Kota	i:ru		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:54 (A)	DED546
liver-A	Malayalam	īral		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED546 (A)	; 
liver-A	Tamil	i:ɾaɭ		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED546 (A)	; 
liver-B	Kolami	kaleja		Kolipakam (fieldwork) (A)	Kolipakam (B)	High quality look alike
liver-B	Koya	ka:dʒam		Kolipakam fieldwork (A)	Dunn (C)	lookalike, poor quality
liver-B	Telugu	ka:lejamu		Kolipakam fieldwork (A)	Andronov 1964 (A)	
liver-C	Gondi	taɾki		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:271 (A)	DED3120
liver-C	Ollari_Gadba	taɖing		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:271 (A)	DED3120
liver-C	Parji	taruṅg		Andronov 1964 (B)	Andronov 1964 (B)	
liver-D	Malayalam	kaɾaɭə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1274 (A)	
liver-D	Toda	kuɖa:l		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1274 (A)	
liver-E	Kodava	tombe		Kolipakam fieldwork (A)	Dunn (C)	nothing similar in DED
liver-E	Yeruva	tombe		Kolipakam fieldwork (A)	Dunn (C)	nothing similar in DED
liver-F	Kannada	medadʒi:ɾika		Kolipakam fieldwork (A)	Dunn (C)	apparent singleton
liver-G	Betta_Kurumba	tədlə		Kolipakam fieldwork (A)	Dunn (B)	apparent singleton
liver-H	Brahui	dʒagaɾ		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
liver-I	Malto	tʃedɾo		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
liver-J	Kurukh	umbalkʰo		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
long-A	Kota	ni:tam		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:329 (A)	DED3692
long-A	Malayalam	ni:nɖa		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED3692 (A)	; DED3692; "Ta. nīḷ (nīḷv-, nīṇṭ-) to be long, be great; n. length, extension, elongation, long time, duration, height, tallness, loftiness, depth, order, series, row; nīḷa to a great length or distance, all along, at a great distance; nīḷam extension, length, distance, remoteness, delay, procrastination; nīḷi (-pp-, -tt-) to be lengthened, extended, be long as time or life, last long, endure, be protracted, delayed; n. that which is long, lofty, tall person; nīḷippu prolongation; nīḷiyatu that which is long, that which is omnipresent; -- 329 -- nīṇu (nīṇi-) to go a long distance; nīṭu (nīṭi-) to grow long, be lengthened, be extended through space or time, spread, extend, abound, be copious, thrive, grow well, rise high, last long, endure, be permanent, delay; n. long time, permanence; nīṭi (-pp-, -tt-) to lengthen (time, distance, etc.), endure, last, be permanent; nīṭṭu (nīṭṭi-) to lengthen, extend, stretch out, straighten, offer as oblations, give, insert, drive into, speak at length or too much, prolong as a note, delay, procrastinate, retard, defer; nīṭṭu length as of time or space, distance; nīṭṭam length, elongation of sound, strengthening, lengthening, procrastination; nīṭṭal lengthening, extending, stretching; nīṭṭi (-pp-, -tt-) to lengthen, delay; be prolonged, endure long; nikaḷam length."
long-A	Malayalam	ni:lamuɭɭa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3692 (B)	DED3692; "Ma. nīḷuka to extend oneself, grow long, be delayed, protracted; nīḷa, nīḷē, nīḷavē far; nīḷam length, distance; nīḷal growing longer; nīḷ, nīr̤ length (in cpds.); nīṭu length, long; nīṭuka to be long; nīṭṭuka to lengthen, stretch out, allow to grow, delay, hold out, give; nīṭṭam length, stretching out, delay; nīṭṭal lengthening; nīṭṭu a royal handwriting, stroke, a grant of the Travancore raja, a ladder; nīṭṭikka to get lengthened, stretched."
long-A	Tamil	nīṇṭa		Andronov 1964 (B)	Andronov 1964 (B)	
long-A	Tamil	ni:ɭam		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3692 (A)	DED3692; "Ta. nīḷ (nīḷv-, nīṇṭ-) to be long, be great; n. length, extension, elongation, long time, duration, height, tallness, loftiness, depth, order, series, row; nīḷa to a great length or distance, all along, at a great distance; nīḷam extension, length, distance, remoteness, delay, procrastination; nīḷi (-pp-, -tt-) to be lengthened, extended, be long as time or life, last long, endure, be protracted, delayed; n. that which is long, lofty, tall person; nīḷippu prolongation; nīḷiyatu that which is long, that which is omnipresent; -- 329 -- nīṇu (nīṇi-) to go a long distance; nīṭu (nīṭi-) to grow long, be lengthened, be extended through space or time, spread, extend, abound, be copious, thrive, grow well, rise high, last long, endure, be permanent, delay; n. long time, permanence; nīṭi (-pp-, -tt-) to lengthen (time, distance, etc.), endure, last, be permanent; nīṭṭu (nīṭṭi-) to lengthen, extend, stretch out, straighten, offer as oblations, give, insert, drive into, speak at length or too much, prolong as a note, delay, procrastinate, retard, defer; nīṭṭu length as of time or space, distance; nīṭṭam length, elongation of sound, strengthening, lengthening, procrastination; nīṭṭal lengthening, extending, stretching; nīṭṭi (-pp-, -tt-) to lengthen, delay; be prolonged, endure long; nikaḷam length."
long-A	Tamil	ni:ɭama:na		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3692 (A)	DED3692; "Ta. nīḷ (nīḷv-, nīṇṭ-) to be long, be great; n. length, extension, elongation, long time, duration, height, tallness, loftiness, depth, order, series, row; nīḷa to a great length or distance, all along, at a great distance; nīḷam extension, length, distance, remoteness, delay, procrastination; nīḷi (-pp-, -tt-) to be lengthened, extended, be long as time or life, last long, endure, be protracted, delayed; n. that which is long, lofty, tall person; nīḷippu prolongation; nīḷiyatu that which is long, that which is omnipresent; -- 329 -- nīṇu (nīṇi-) to go a long distance; nīṭu (nīṭi-) to grow long, be lengthened, be extended through space or time, spread, extend, abound, be copious, thrive, grow well, rise high, last long, endure, be permanent, delay; n. long time, permanence; nīṭi (-pp-, -tt-) to lengthen (time, distance, etc.), endure, last, be permanent; nīṭṭu (nīṭṭi-) to lengthen, extend, stretch out, straighten, offer as oblations, give, insert, drive into, speak at length or too much, prolong as a note, delay, procrastinate, retard, defer; nīṭṭu length as of time or space, distance; nīṭṭam length, elongation of sound, strengthening, lengthening, procrastination; nīṭṭal lengthening, extending, stretching; nīṭṭi (-pp-, -tt-) to lengthen, delay; be prolonged, endure long; nikaḷam length."
long-A	Yeruva	ni:ʈa		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
long-B	Badga	utta		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
long-B	Betta_Kurumba	uddu		Kolipakam fieldwork (A)	Dunn (B)	good lookalike
long-B	Kannada	udda		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED621 (A)	; DED621
long-B	Kodava	uddə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED621 (A)	DED621
long-B	Tulu	uda		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED621 (A)	DED621
long-C	Kolami	poɖa:m		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:397 (A)	DED4484
long-C	Koya	poɖaʋuʈa:du		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
long-C	Telugu	poɖaʋu		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:397 (A)	; DED4484
long-D	Toda	neɾti		Kolipakam fieldwork (A)	Verkerk (C)	Could maybe be related to DED3692: "To. ni·ṛ- (ni·ṛy-) to be stretched out (hand); ni·ṭ- (ni·ṭy-) to stretch out (hand); ni·ḷ- (ni·ḍ-) to be stretched out straight (rope), stretch oneself over or into, peep over (wall)." but very doubtful.
long-E	Brahui	muɾgun		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates
long-F	Kurukh	diga:h		Kolipakam (fieldwork) (A)	Kolipakam (B)	High quality look alike
long-F	Malto	digaɖo		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates. No entry in DED
long-G	Gondi	la:m		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates. No entry in DED
louse-A	Betta_Kurumba	pja:nu		Kolipakam fieldwork (A)	Dunn (B)	good lookalike
louse-A	Kannada	he:nu		Kolipakam fieldwork (A)	Andronov 1964 (B)	Form is not listed in DED4449, but might be a change from inital p to initial h (?)
louse-A	Kodava	pe:nə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:394 (A)	Set 4449: "Koḍ. pe·nï louse."
louse-A	Kolami	pa:nu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:394 (A)	DED4449
louse-A	Kurukh	pe:n		Kolipakam (fieldwork) (A)	Kolipakam:394 (A)	DED4449
louse-A	Malayalam	pe:n		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED4449 (A)	; DED4449: "Ta. pēṉ louse. Ma. pēn id."
louse-A	Parji	pēni		Andronov 1964 (B)	Burrow Emeneau 1961:394 (A)	Set 4449; "Pa. pēni (pl. pēnul) id." this conflicts with Andronov
